animal,raw_conc,ht_wt,body_wt,day,ZT,sex,dose,tissue
9AM 13M,44.269,9.5,27.4,1,2,M,21.90,hypothalamus
9AM 14M,65.089,12.3,30.3,1,2,M,19.80,hypothalamus
9AM 15M,7.783,8.6,30.4,1,2,M,19.74,hypothalamus
10AM 3M,11.842,5.8,26.6,1,3,M,22.56,hypothalamus
10AM 8M,2.161,9.4,33.4,1,3,M,17.96,hypothalamus
10AM 9M,2.298,12.4,31.8,1,3,M,18.87,hypothalamus
10AM 12M,9.285,7.6,27.5,1,3,M,21.82,hypothalamus
10AM 13M,12.076,8,30.9,1,3,M,19.42,hypothalamus
10AM 14M,6.633,8.6,33.8,1,3,M,17.75,hypothalamus
10AM 15M,3.523,7.6,27.4,1,3,M,21.90,hypothalamus
10AM 16M,8.011,6.6,27.4,1,3,M,21.90,hypothalamus
12PM 2M,2.673,6,25.7,1,5,M,23.35,hypothalamus
12PM 10M,2.212,10.8,34.9,1,5,M,17.19,hypothalamus
12PM 11M,1.568,7.1,31,1,5,M,19.35,hypothalamus
12PM 12M,1.054,6.2,28.8,1,5,M,20.83,hypothalamus
12PM 13M,0.712,3.8,31.1,1,5,M,19.29,hypothalamus
12PM 14M,2.118,11.4,28.8,1,5,M,20.83,hypothalamus
12PM 15M,3.378,3.9,28.2,1,5,M,21.28,hypothalamus
12PM 16M,3.247,11.5,28.2,1,5,M,21.28,hypothalamus
12PM 17M,2.229,3.7,32.2,1,5,M,18.63,hypothalamus
12PM 18M,2.903,9.2,31.7,1,5,M,18.93,hypothalamus
2PM 3M,1.338,8.9,29.4,1,7,M,20.41,hypothalamus
2PM 5M,0.722,6.2,32,1,7,M,18.75,hypothalamus
2PM 6M,2.554,10.1,30.1,1,7,M,19.93,hypothalamus
2PM 8M,0.617,9.3,33,1,7,M,18.18,hypothalamus
2PM 9M,2.354,7,30.3,1,7,M,19.80,hypothalamus
2PM 10M,1.565,10.7,31,1,7,M,19.35,hypothalamus
2PM 11M,1.306,3.6,27.5,1,7,M,21.82,hypothalamus
2PM 12M,1.261,3.7,26.5,1,7,M,22.64,hypothalamus
4PM 17M,0.756,10.9,31.5,1,9,M,19.05,hypothalamus
4PM 18M,1.340,25.1,32.3,1,9,M,18.58,hypothalamus
4PM 19M,0.170,16.2,32.2,1,9,M,18.63,hypothalamus
4PM 20M,0.768,16.2,28.3,1,9,M,21.20,hypothalamus
4PM 21M,1.419,11.1,27.5,1,9,M,21.82,hypothalamus
4PM 22M,1.920,20.6,28.5,1,9,M,21.05,hypothalamus
4PM 23M,1.374,14.5,32.4,1,9,M,18.52,hypothalamus
4PM 24M,0.942,8.2,28.2,1,9,M,21.28,hypothalamus
6PM 17M,0.767,15.5,29,1,11,M,20.69,hypothalamus
6PM 18M,0.368,18.3,31.2,1,11,M,19.23,hypothalamus
6PM 19M,0.112,12.5,29.9,1,11,M,20.07,hypothalamus
6PM 20M,0.550,10.4,32.1,1,11,M,18.69,hypothalamus
6PM 21M,0.000,12.4,29.3,1,11,M,20.48,hypothalamus
6PM 22M,0.102,13.2,29.4,1,11,M,20.41,hypothalamus
8PM 12M,29.879,11.6,26.2,1,13,M,19.08,hypothalamus
8PM 13M,37.893,14.1,26.9,1,13,M,18.59,hypothalamus
8PM 14M,14.683,13.6,24.6,1,13,M,20.33,hypothalamus
8PM 15M,47.193,14.3,24.2,1,13,M,20.66,hypothalamus
8PM 16M,37.570,13.6,26.5,1,13,M,18.87,hypothalamus
8PM 17M,13.771,13.3,23.2,1,13,M,21.55,hypothalamus
9PM 1M,8.874,9.3,22.7,1,14,M,22.03,hypothalamus
9PM 2M,28.269,15.2,24.4,1,14,M,20.49,hypothalamus
9PM 3M,12.821,13.7,25,1,14,M,20.00,hypothalamus
9PM 4M,22.230,16.3,24.7,1,14,M,20.24,hypothalamus
9PM 5M,12.724,13,26.2,1,14,M,19.08,hypothalamus
9PM 6M,5.649,12.9,25.7,1,14,M,19.46,hypothalamus
9PM 7M,15.027,10.3,26.8,1,14,M,18.66,hypothalamus
9PM 8M,11.039,13.9,25.3,1,14,M,19.76,hypothalamus
10PM 1M,10.3517,11.3,25.3,1,15,M,19.76,hypothalamus
10PM 2M,5.4092,5.7,26.1,1,15,M,19.16,hypothalamus
10PM 3M,9.6769,12.6,25.2,1,15,M,19.84,hypothalamus
10PM 4M,7.0261,12.7,24,1,15,M,20.83,hypothalamus
10PM 5M,5.9962,20.7,26.4,1,15,M,18.94,hypothalamus
10PM 6M,9.7283,16.1,24.3,1,15,M,20.58,hypothalamus
10PM 7M,13.2275,13.6,23.3,1,15,M,21.46,hypothalamus
10PM 8M,5.7892,10.9,26.1,1,15,M,19.16,hypothalamus
Day 6 8AM 5M,48.446,14,24.9,6,1,M,20.08,hypothalamus
Day 6 8AM 6M,28.909,8.6,24.2,6,1,M,20.66,hypothalamus
Day 6 8AM 7M,45.011,17.4,25,6,1,M,20.00,hypothalamus
Day 6 8AM 8M,71.711,15.8,23.5,6,1,M,21.28,hypothalamus
Day 6 8AM 9M,51.284,15.1,26.2,6,1,M,21.87,hypothalamus
Day 6 8AM 10M,62.687,14.1,29.6,6,1,M,19.36,hypothalamus
Day 6 8AM 11M,35.573,10.9,31.5,6,1,M,18.19,hypothalamus
Day 6 8AM 12M,39.702,7.9,30.2,6,1,M,18.97,hypothalamus
Day 6 6PM 5M,0.438,10.4,25.2,6,11,M,19.84,hypothalamus
Day 6 6PM 6M,0.161,12.8,25.4,6,11,M,19.69,hypothalamus
Day 6 6PM 7M,0.255,11.6,26.5,6,11,M,18.87,hypothalamus
Day 6 6PM 8M,0.0992,7.3,23.1,6,11,M,20.23,hypothalamus
Day 6 6PM 9M,0.1868,8.8,23,6,11,M,20.32,hypothalamus
Day 6 6PM 10M,0.4398,10.7,22,6,11,M,21.24,hypothalamus
Day 6 6PM 11M,0.2556,13.4,22.8,6,11,M,20.49,hypothalamus
Day 6 6PM 12M,0.2203,9,24.3,6,11,M,19.23,hypothalamus
Day 13 9AM 1M,16.9929,7.2,25,13,2,M,24.00,hypothalamus
Day 13 9AM 2M,17.7875,7.1,33.7,13,2,M,17.80,hypothalamus
Day 13 9AM 3M,15.1274,9.4,33,13,2,M,18.18,hypothalamus
Day 13 9AM 4M,9.7798,14.3,34.5,13,2,M,17.39,hypothalamus
Day 13 4PM 1M,1.7252,6.6,22.8,13,9,M,26.32,hypothalamus
Day 13 4PM 2M,1.7163,8.7,32.9,13,9,M,18.24,hypothalamus
Day 13 4PM 3M,1.5836,7.4,30.7,13,9,M,19.54,hypothalamus
Day 13 4PM 4M,2.3287,8.1,32.1,13,9,M,18.69,hypothalamus
