animal,raw_conc,ht_wt,body_wt,day,ZT,sex,dose,tissue
730AM 1M,37.381,10.4,29.5,1,0.5,M,20.34,hypothalamus
730AM 2M,33.049,11.6,30.4,1,0.5,M,19.74,hypothalamus
730AM 3M,41.316,10.3,31,1,0.5,M,19.35,hypothalamus
730AM 4M,61.840,15.4,30.4,1,0.5,M,19.74,hypothalamus
730AM 5M,47.071,14.2,33.1,1,0.5,M,18.13,hypothalamus
730AM 6M,50.328,9.5,29.6,1,0.5,M,20.27,hypothalamus
730AM 7M,43.809,8.6,29.5,1,0.5,M,20.34,hypothalamus
730AM 9M,27.171,9,26.5,1,0.5,M,22.64,hypothalamus
8AM 10M,17.834,6,29.7,1,1,M,20.20,hypothalamus
8AM 11M,34.579,7.3,31.3,1,1,M,19.17,hypothalamus
8AM 12M,58.490,11.5,33.3,1,1,M,18.02,hypothalamus
8AM 13M,15.521,6.3,30.2,1,1,M,19.87,hypothalamus
8AM 16M,26.872,8,28.4,1,1,M,21.13,hypothalamus
8AM 17M,8.808,6.2,27.5,1,1,M,21.82,hypothalamus
8AM 21M,48.272,16.7,30.5,1,1,M,19.67,hypothalamus
8AM 22M,38.021,14.3,30.8,1,1,M,19.48,hypothalamus
8AM 23M,29.467,9.4,29.8,1,1,M,20.13,hypothalamus
8AM 24M,59.633,21.3,26.5,1,1,M,20.38,hypothalamus
8AM 25M,84.698,29.6,27.7,1,1,M,19.49,hypothalamus
8AM 26M,47.955,16.5,28.3,1,1,M,19.08,hypothalamus
8AM 27M,67.820,26.9,26.7,1,1,M,20.22,hypothalamus
8AM 28M,36.129,13.9,27.6,1,1,M,19.57,hypothalamus
8AM 29M,22.288,16.4,27.9,1,1,M,19.35,hypothalamus
8AM 30M,56.956,16.3,25.8,1,1,M,20.93,hypothalamus
8AM 31M,82.538,31.7,26.2,1,1,M,20.61,hypothalamus
9AM 2M,27.277,15.7,28.8,1,2,M,20.83,hypothalamus
9AM 4M,6.576,7.5,29.5,1,2,M,20.34,hypothalamus
9AM 8M,8.038,2.8,34.4,1,2,M,17.44,hypothalamus
9AM 9M,4.804,3.9,34.2,1,2,M,17.54,hypothalamus
9AM 10M,38.671,8.6,28.6,1,2,M,20.98,hypothalamus
9AM 11M,32.204,5.3,29.9,1,2,M,20.07,hypothalamus
9AM 12M,9.087,14,31.5,1,2,M,19.05,hypothalamus
