animal,retina,raw_conc,retina_wt,body_wt,day,ZT,sex,dose,tissue
12PM 10M,LR,58.330,4.9,34.9,1,5,M,17.19,retina
12PM 11M,RR,80.493,5,31,1,5,M,19.35,retina
12PM 11M,LR,78.986,4.8,31,1,5,M,19.35,retina
12PM 12M,RR,57.511,5.1,28.8,1,5,M,20.83,retina
12PM 12M,LR,59.733,5.5,28.8,1,5,M,20.83,retina
12PM 13M,RR,70.053,5.9,31.1,1,5,M,19.29,retina
12PM 13M,LR,30.872,5.4,31.1,1,5,M,19.29,retina
12PM 14M,RR,40.901,6.2,28.8,1,5,M,20.83,retina
12PM 14M,LR,62.809,5,28.8,1,5,M,20.83,retina
12PM 15M,RR,115.200,8.1,28.2,1,5,M,21.28,retina
12PM 15M,LR,117.031,4.7,28.2,1,5,M,21.28,retina
12PM 16M,RR,58.164,5.8,28.2,1,5,M,21.28,retina
12PM 16M,LR,53.600,6.1,28.2,1,5,M,21.28,retina
12PM 17M,RR,120.586,5.9,32.2,1,5,M,18.63,retina
12PM 17M,LR,130.648,5.2,32.2,1,5,M,18.63,retina
12PM 18M,RR,94.805,6,31.7,1,5,M,18.93,retina
12PM 18M,LR,78.686,5.9,31.7,1,5,M,18.93,retina
2PM 3M,RR,74.794,4.5,29.4,1,7,M,20.41,retina
2PM 3M,LR,60.124,4.5,29.4,1,7,M,20.41,retina
2PM 5M,RR,59.773,5.2,32,1,7,M,18.75,retina
2PM 5M,LR,50.708,4.8,32,1,7,M,18.75,retina
2PM 6M,RR,96.940,5.8,30.1,1,7,M,19.93,retina
2PM 6M,LR,118.121,5.7,30.1,1,7,M,19.93,retina
2PM 8M,RR,53.083,4.8,33,1,7,M,18.18,retina
2PM 8M,LR,37.421,3.8,33,1,7,M,18.18,retina
2PM 9M,RR,69.463,6.2,30.3,1,7,M,19.80,retina
2PM 9M,LR,72.341,4.8,30.3,1,7,M,19.80,retina
2PM 10M,RR,31.677,4.8,31,1,7,M,19.35,retina
2PM 10M,LR,24.057,5.8,31,1,7,M,19.35,retina
2PM 11M,RR,60.256,5.8,27.5,1,7,M,21.82,retina
2PM 11M,LR,53.048,4.4,27.5,1,7,M,21.82,retina
2PM 12M,RR,68.422,4.5,26.5,1,7,M,22.64,retina
2PM 12M,LR,72.387,4.8,26.5,1,7,M,22.64,retina
4PM 17M,RR,52.550,6.9,31.5,1,9,M,19.05,retina
4PM 17M,LR,62.390,6.5,31.5,1,9,M,19.05,retina
4PM 18M,RR,53.023,5.9,32.3,1,9,M,18.58,retina
4PM 18M,LR,49.352,5.8,32.3,1,9,M,18.58,retina
4PM 19M,RR,63.879,5,32.2,1,9,M,18.63,retina
4PM 19M,LR,59.022,5.5,32.2,1,9,M,18.63,retina
4PM 20M,RR,93.332,4.2,28.3,1,9,M,21.20,retina
4PM 20M,LR,69.925,5.3,28.3,1,9,M,21.20,retina
4PM 21M,RR,68.533,4.5,27.5,1,9,M,21.82,retina
